indexA,addressA,indexB,addressB,score
3249,"The Teesdale Hotel, Market Place Middleton-in-TeesdaleCounty Durham, North East, DL120QG",10086,"The Teesdale Hotel, Barnard Castle, County Durham, North East, DL120QG",0.5
3251,"Jersey Farm Hotel, Darlington Rd Barnard CastleCounty Durham, North East, DL128TA",1588,"Runa Farm, Darlington Road, Barnard Castle, , United Kingdom, County Durham, North East, DL128TA",0.5938
3267,"Belvedere House B&B, 54 Market Place Middleton in Teesdale Middleton-In-TeesdaleCounty Durham, North East, DL120QH",3362,"The Forresters, 52-53, Market Place, Barnard Castle, , United Kingdom, County Durham, North East, DL120QH",0.5828
3366,"The Old Rectory Hotel, Martinhoe, North Devon, South West, EX314QT",2817,"The Old Rectory Hotel, Berry's Ground Lane, North Devon, , United Kingdom, South West, EX314QT",0.5
3448,"Hotel Majestic, Duke Street Barrow-in-Furness, Westmorland and Furness, North West, LA141HP",7581,"Holiday Inn Express, Market Street, Barrow-in-Furness, LA142LE",0.525
3448,"Hotel Majestic, Duke Street Barrow-in-Furness, Westmorland and Furness, North West, LA141HP",7670,"Jefferson's Hotel, 60-64, Duke Street, Barrow-in-Furness, Westmorland and Furness, North West, LA141RX",0.5
3449,"Holiday Inn Express - Barrow-in-Furness, Market Street, Barrow in Furness, LA142LE",2179,"Majestic Hotel, Duke Street, Barrow-in-Furness, , United Kingdom, Westmorland and Furness, North West, LA141HP",0.5126
3465,"Best Western Mount Sorrel, Porthkerry Road Barry, Vale of Glamorgan, CF627XY",10156,"Abershaw House Hotel, 28, Porthkerry Road, Barry, Vale of Glamorgan, CF627AX",0.5265
3591,"Francis Hotel Bath MGallery by Sofitel, Queen Square BathBath and North East Somerset, South West, BA12HH",8625,"Haringtons Hotel, Bath and North East Somerset, South West, BA11HE",0.5482
3618,"The Windsor, 69 Great Pulteney Street Bath, Bath and North East Somerset, South West, BA24DL",2007,"No. 15 Great Pulteney, 13-15, Great Pulteney Street, Bath, , United Kingdom, Bath and North East Somerset, South West, BA24BS",0.5868
