orig_indexA,orig_indexB,addressA,addressB,score
4808,227,"Best Western The Lairgate Hotel, 30-34 Lairgate Beverley, East Riding of Yorkshire, Yorkshire and The Humber, HU178EP","Best Western Lairgate Hotel, 30-34, Lairgate, Beverley, , United Kingdom, East Riding of Yorkshire, Yorkshire and The Humber, HU178EP",1.0
4837,1998,"George Hotel Wetherspoon, 64 Load Street Bewdley, Wyre Forest, West Midlands, DY122AW","George Hotel, 64, Load Street, Wyre Forest, , United Kingdom, West Midlands, DY122AW",0.9
4901,9975,"New Inn Hotel, High Street BIDEFORD, Torridge, South West, EX395TQ","New Inn Hotel, High Street, Bideford, Torridge, South West, EX395TQ",0.9
5051,3492,"The Elphinstone Hotel, 145 High Street Biggar, South Lanarkshire, ML126DL","The Elphinstone Hotel, 145, High Street, Biggar, , United Kingdom, South Lanarkshire, ML126DL",1.0
5075,9796,"Travelodge Billingshurst Five Oaks, A29 Stane Street Five OaksBillingshurst West Sussex, Horsham, South East, RH149AE","Travelodge, Stane Street, Billingshurst, , GB, Horsham, South East, RH149AE",0.9
5084,2101,"The Bingham Townhouse, 15 Market Street Bingham Nottinghamshire Bingham, Rushcliffe, East Midlands, NG138AB","Bingham Townhouse, 15, Market Street, Nottingham, , GB, Rushcliffe, East Midlands, NG138AB",0.9
5115,4942,"Hampton by Hilton Birmingham Broad Street, 200 Broad Street Cumberland House Birmingham, West Midlands, B151SU","Hampton by Hilton Birmingham Broad Street, 200, Broad Street, Birmingham, West Midlands, B151SU",1.0
5122,3913,"Hyatt Regency Birmingham, 2 Bridge Street Birmingham, West Midlands, B12JZ","Hyatt Regency Hotel, 2, Bridge Street, Birmingham, , GB, West Midlands, B12JZ",1.0
5124,4593,"Premier Inn Birmingham City Centre, 3-6 Waterloo Street Birmingham, West Midlands, B25PG","Premier Inn, 3-6, Waterloo Street, Birmingham, West Midlands, B25PG",0.9
5134,3821,"Novotel Birmingham Centre, 70 Broad Street Birmingham, West Midlands, B12HT","Novotel, 70, Broad Street, Birmingham, West Midlands, B12HT",1.0
5154,4315,"Premier Inn Birmingham South, Stratford Road BIRMINGHAM, West Midlands, B289ES","Premier Inn Birmingham South (Hall Green), Stratford Road, Birmingham, , GB, West Midlands, B289ES",0.9
5155,4186,"Holiday Inn Express Birmingham NEC, Bickenhill Parkway Birmingham, Solihull, West Midlands, B401QA","Holiday Inn Express, Bickenhill Parkway, Birmingham, Solihull, West Midlands, B401QA",0.9
5157,4433,"Campanile Birmingham, Chester Street Aston  Birmingham Birmingham, West Midlands, B64BE","Campanile, Chester Street, Birmingham, , GB, West Midlands, B64BE",0.9
5161,4590,"Comfort Inn Birmingham, Station Street Birmingham, West Midlands, B54DY","Comfort Inn, Station Street, Birmingham, , GB, West Midlands, B54DY",0.9
5162,5428,"Britannia Hotel Wolverhampton, Lichfield Street  Wolverhampton, West Midlands, WV11DD","Britannia Hotel, Lichfield Street, Wolverhampton, West Midlands, WV11DD",0.9
5168,4542,"Eaton Hotel, 279 Hagley Road Edgbaston Birmingham, West Midlands, B169NB","The Eaton Hotel, 279, Hagley Road, Birmingham, , GB, West Midlands, B169NB",1.0
5172,4026,"Birmingham Marriott Hotel, 12 Hagley Road Five Ways Birmingham Five Ways, West Midlands, B168SJ","Delta Hotels by Marriott Birmingham, 12, Hagley Road, Birmingham, West Midlands, B168SJ",0.9
5184,4176,"Crowne Plaza Solihull, 61 Homer Road West Midlands SolihullWest Midlands, B913QD","Crowne Plaza, 61, Homer Road, Solihull, , GB, West Midlands, B913QD",0.9
5188,3897,"Rowton Hotel, 145 Alcester street Birmingham, West Midlands, B120PJ","The Paragon Hotel, 145, Alcester Street, Birmingham, West Midlands, B120PJ",1.0
5193,7921,"Tudor Court Hotel, 77 Kineton Green Road Olton SolihullWest Midlands, B927DX","Tudor Court Hotel, 77, Kineton Green Road, Solihull, West Midlands, B927DX",0.9
5207,5785,"Ibis Styles Birmingham Oldbury, 999 Wolverhampton Road Oldbury, Sandwell, West Midlands, B694RJ","ibis styles, 999, Wolverhampton Road, Sandwell, West Midlands, B694RJ",0.9455
5209,4642,"Sure Hotel by Best Western Birmingham South, 49 Sherbourne Road Acocks Green Birmingham, West Midlands, B276DX","Bridge House Hotel, 47-49, Sherbourne Road, Birmingham, , GB, West Midlands, B276DX",1.0
5212,6107,"Holiday Inn Express Birmingham South A45, 1270 Coventry Road, Yardley Birmingham, West Midlands, B258BS","Holiday Inn Express, 1270, Coventry Road, Birmingham, , GB, West Midlands, B258BS",0.9294
5216,4958,"Bloc Hotel Birmingham, Caroline Street Birmingham, West Midlands, B31UG","Bloc, 77, Caroline Street, Birmingham, , GB, West Midlands, B31UG",0.9
5239,9594,"nitenite cityhotels Birmingham, 18 Holliday Street  Birmingham, West Midlands, B11TB","Nitenite Hotel, 18, Holliday Street, Birmingham, West Midlands, B11TB",1.0
5246,4018,"Holiday Inn Express Coventry A45, Kenpas Highway Coventry, West Midlands, CV36PB","Premier Inn, Kenpas Highway, Coventry, West Midlands, CV36PB",0.9
5263,5206,"Old Rose and Crown Hotel, Rose Hill LickeyBirmingham, Bromsgrove, West Midlands, B458RT","The Old Rose & Crown, Rose Hill, Birmingham, Bromsgrove, West Midlands, B458RT",0.9
5264,4695,"Hotel du Vin & Bistro Birmingham, Church Street Birmingham, West Midlands, B32NR","Hotel du Vin, 25, Church Street, Birmingham, , GB, West Midlands, B32NR",0.9
5274,7132,"Ely House Hotel, 53 Tettenhall Road WolverhamptonWest Midlands, WV39NB","Ely House Hotel, 53, Tettenhall Road, Wolverhampton, West Midlands, WV39NB",0.9
5284,4527,"Travelodge Birmingham Sutton Coldfield, B4142 Boldmere Road Sutton ColdfieldWest Midlands, Birmingham, B735UP","Travelodge, Boldmere Road, Sutton Coldfield, , GB, Birmingham, West Midlands, B735UP",0.9
5286,1197,"Woodlands Hotel, 379-381 Hagley Road Birmingham West Midlands, B178DL","Woodlands Hotel, 379,381, Hagley Road, Birmingham, , GB, West Midlands, B178DL",1.0
