orig_index,text
3746,"Boars Head Hotel, 120, Lammas Street, Carmarthen, , GB, Carmarthenshire, SA313AE"
1420,"Ashbank Hotel, B879, Carradale, , GB, Argyll and Bute, PA286RY"
10421,"Inn At The Park, 4, Deemount Terrace, Aberdeen, , GB, Aberdeen City, AB117RX"
4685,"Millennium Gloucester Hotel & Conference Centre, 4-18, Harrington Gardens, London, Kensington and Chelsea, SW74LH"
11256,"Bluedaws Hotel, 133-135, Sussex Gardens, London"
6413,"St. David's Hotels, 14-20, Norfolk Square, London, Westminster, W21RS"
8354,"The Derbyshire Hotel, Carter Lane East, Alfreton, Bolsover, East Midlands, DE552EH"
8367,"Ord Arms Hotel, Great North Road, Muir of Ord, Highland, IV67XR"
7796,"The Weem Inn, Weem, Perth and Kinross, PH152LD"
4925,"Holiday Inn, Emerson Road, Washington, Sunderland, North East, NE371LB"
9612,"MStay Hotel 43, 43, Queensborough Terrace"
4801,"Palm Court Hotel, 81, Seafield Road, Aberdeen, Aberdeen City, AB157YX"
5428,"Britannia Hotel, Lichfield Street, Wolverhampton, West Midlands, WV11DD"
9348,"Shaftesbury Suites London Marble Arch, 41, Great Cumberland Place"
5504,"Forshaws Hotel, Talbot Square, Blackpool, FY11ND"
6819,"easyHotel.com Paddington, 10, Norfolk Place, London, Westminster, W21QL"
8369,"Grange Hotel, 71-73, London Road, Newark, , GB, Newark and Sherwood, East Midlands, NG241RZ"
8617,"Holiday Inn Express, 200, High Street Colliers Wood, London, Merton, SW192BH"
7921,"Tudor Court Hotel, 77, Kineton Green Road, Solihull, West Midlands, B927DX"
6932,"National Hotel, 17-19, Queens Avenue, London, Haringey, N103PE"
7131,"A Park View Hotel, 12-13, Park Road West, Wolverhampton, West Midlands, WV14PP"
6648,"The Enniskillen Hotel, 72, Forthill Street, Enniskillen, Fermanagh and Omagh, BT746AJ"
4047,"Travelodge Edinburgh Central, 33, St Mary's Street, Edinburgh, City of Edinburgh, EH11TA"
10179,"The Crown Hotel, 10, King Street, Montrose, Aberdeenshire, DD100RG"
4818,"Premier Inn, Builyeon Road, South Queensferry, City of Edinburgh, EH309YJ"
5704,"hub by Premier Inn, St. Martin's Lane, London, Westminster, WC2N4BA"
10515,"Seaview Hotel, Seaview Road, Boddam, , GB, Aberdeenshire, AB423NS"
10412,"Copthorne Hotel Aberdeen, 122, Huntly Street, Aberdeen, Aberdeen City, AB101SU"
9512,"Otterburn Castle Country House Hotel, Otterburn, Northumberland, North East, NE191NS"
3828,"Sheraton Skyline, Bath Road, Hayes, , GB, Hillingdon, London, UB35BP"
8265,"Hotel Indigo, 2-8, South Parade, Bath, , GB, Bath and North East Somerset, South West, BA24AA"
9904,"London Marriott Twickenham, 198, Whitton Road, Richmond upon Thames, TW27BA"
5407,"HF Holidays Nether Grange, Pease's Lane, Alnwick, , GB, Northumberland, North East, NE662RZ"
