original_address,lat,long,formatted,name,housenumber,street,district,postcode,suburb,city,county,county_code,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,confidence_building_level,attribution,attribution_license,attribution_url
"Premier Inn Great Yarmouth West (A47), North River Road, Runham Vauxhall Great Yarmouth, East of England, NR301SH",52.6150784,1.722154515,"North River Road, Great Yarmouth, NR30 1SH, United Kingdom",North River Road,,North River Road,,NR30 1SH,Runham Vauxhall,Great Yarmouth,Norfolk,NFK,England,ENG,United Kingdom,gb,0.7,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Hampton by Hilton Hamilton Park, Bothwell Road, South Lanarkshire, ML30DW",55.78830205,-4.05220255,"Bothwell Road, Bothwell, ML3 0DW, United Kingdom",Bothwell Road,,Bothwell Road,,ML3 0DW,Whitehill,Bothwell,South Lanarkshire,SLK,Scotland,SCT,United Kingdom,gb,0.7,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"The Wylfa, Lon Sarn Bach Abersoch, Gwynedd, LL537DY",52.82203969,-4.506175515,"Lôn Sarn Bach, Abersoch, LL53 7DY, United Kingdom",Lôn Sarn Bach,,Lôn Sarn Bach,,LL53 7DY,Llanengan,Abersoch,Gwynedd,GWN,Wales,WLS,United Kingdom,gb,0.7,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Carradale Hotel, Argyll Argyll, Argyll and Bute, PA286RY",55.5905126,-5.468337,"Carradale Hotel, B879, Carradale, PA28 6RY, United Kingdom",Carradale Hotel,,B879,,PA28 6RY,,Carradale,Argyll and Bute,AGB,Scotland,SCT,United Kingdom,gb,0.666666667,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Tigh Na Cloich Hotel, Larchwood Road Pitlochry, Perth and Kinross, PH165AS",56.70510947,-3.738112391,"Larchwood Road, Pitlochry, PH16 5AS, United Kingdom",Larchwood Road,,Larchwood Road,,PH16 5AS,,Pitlochry,Perth and Kinross,PKN,Scotland,SCT,United Kingdom,gb,0.7,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"So Paddington Hotel, 6-8 Norfolk Square London, Westminster, W21RS",51.5157889,-0.174221936,"So Paddington, 6-8 Norfolk Square, London, W2 1RS, United Kingdom",So Paddington,8-Jun,Norfolk Square,,W2 1RS,Paddington,London,Greater London,,England,ENG,United Kingdom,gb,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Tailrace Inn, Riverside Road Kinlochleven Scotland, Highland, PH504QH",56.7150553,-4.964279144,"Riverside Road, Kinlochleven, PH50 4QH, United Kingdom",Riverside Road,,Riverside Road,Kinlochmore,PH50 4QH,,Kinlochleven,Highland,HLD,Scotland,SCT,United Kingdom,gb,0.7,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Millennium Gloucester Hotel London Kensington, 4-18 Harrington Gardens  London, Kensington and Chelsea, SW74LH",51.493578,-0.183497852,"Millennium Gloucester Hotel & Conference Centre, 4-18 Harrington Gardens, London, SW7 4LH, United Kingdom",Millennium Gloucester Hotel & Conference Centre,18-Apr,Harrington Gardens,Royal Borough of Kensington and Chelsea,SW7 4LH,South Kensington,London,Greater London,,England,ENG,United Kingdom,gb,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"The Derbyshire Hotel, Carter Lane East South Normanton South Normanton, Bolsover, East Midlands, DE552EH",53.10563342,-1.321890974,"Carter Lane East, South Normanton, DE55 2EH, United Kingdom",Carter Lane East,,Carter Lane East,,DE55 2EH,,Bolsover,Derbyshire,DBY,England,ENG,United Kingdom,gb,0.7,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Ord Arms Hotel, Great North Road Muir of Ord, Highland, IV67XR",57.52151909,-4.461270542,"Great North Road, Muir of Ord, IV6 7XR, United Kingdom",Great North Road,,Great North Road,,IV6 7XR,,Muir of Ord,Highland,HLD,Scotland,SCT,United Kingdom,gb,0.7,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Carradale Hotel, Argyll Argyll, Argyll and Bute, PA286RY",55.5905126,-5.468337,"Carradale Hotel, B879, Carradale, PA28 6RY, United Kingdom",Carradale Hotel,,B879,,PA28 6RY,,Carradale,Argyll and Bute,AGB,Scotland,SCT,United Kingdom,gb,0.666666667,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"National Hotel, High Street Dingwall, Highland, IV159HA",57.59512562,-4.424500367,"High Street, Dingwall, IV15 9HA, United Kingdom",High Street,,High Street,,IV15 9HA,,Dingwall,Highland,HLD,Scotland,SCT,United Kingdom,gb,0.7,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
