orig_indexA,orig_indexB,addressA,addressB,score
4608,951,"The Kings Arms Hotel, 43 Hide Hill Berwick-upon-Tweed Northumberland, North East, TD151EJ","Kings Arms Hotel, 43, Hide Hill, Berwick Upon Tweed, Northumberland, , United Kingdom, North East, TD151EJ",0.8714
4862,8431,"Bexleyheath Marriott Hotel, 1 Broadway BexleyheathEngland, London, DA67JZ","Bexleyheath Marriott Hotel, 1, Broadway, Bexleyheath, Kent, , GB, London, DA67JZ",0.8371
4872,10772,"Almond Tree Hotel, 1 Murdock Road BicesterOxon, Cherwell, South East, OX264PP","Almond Tree Hotel, Murdock Road, Bicester, Cherwell, South East, OX264PP",0.8
5113,11228,"Holiday Inn Birmingham Airport, Coventry Rd  Birmingham, Solihull, West Midlands, B263QW","Holiday Inn, Coventry Road, Solihull, , GB, West Midlands, B263QW",0.875
5116,1654,"Castle Bromwich Hall Hotel, Chester Road Birmingham, Solihull, West Midlands, B369DE","Castle Bromwich Hall Hotel, Chester Road, Solihull, , United Kingdom, West Midlands, B369DE",0.8
5119,3822,"Hilton Garden Inn Birmingham Brindley Place, 1 Brunswick Square Brindleyplace Birmingham, West Midlands, B12HW","Hilton Garden Inn Birmingham Brindleyplace, 1, Brunswick Square, Birmingham, West Midlands, B12HW",0.8395
5137,7387,"Holiday Inn Birmingham M6 J7, Chapel Lane Great Barr Great BarrBirmingham, Sandwell, West Midlands, B437BG","Holiday Inn, Chapel Lane, Birmingham, Sandwell, West Midlands, B437BG",0.8755
5147,4461,"Best Western Plough & Harrow Hotel, 135 Hagley Road The Plough & Harrow/135 EdgbastonBirmingham, West Midlands, B168LS","The Plough And Harrow, 135, Hagley Road, Birmingham, , GB, West Midlands, B168LS",0.8
5149,4557,"Novotel Wolverhampton, Union Street Wolverhampton, West Midlands, WV13JN","Novotel Wolverhampton, Union Street, Wolverhampton, West Midlands, WV13JN",0.8852
5170,4670,"Greswolde Park Hotel, Warwick Road, 980 BIRMINGHAM, West Midlands, B276QG","Urgency Housing Organisation, 976, Warwick Road, Birmingham, West Midlands, B276QG",0.8571
5175,4515,"Cobden Hotel Birmingham, 166 Hagley Rd Birmingham, West Midlands, B169NZ","Cobden Hotel, 166-174, Hagley Road, Birmingham, , GB, West Midlands, B169NZ",0.8653
5199,5478,"Travelodge Birmingham Central Moor Street, Carrs Lane Birmingham, West Midlands, B47SS","Travelodge Birmingham Central Moor Street, Carrs Lane, Birmingham, West Midlands, B47SS",0.8821
5206,7130,"Quality Hotel Wolverhampton, Tettenhall Road 60 Wolverhampton, West Midlands, WV14SW","Quality Hotel, 40-50, Tettenhall Road, Wolverhampton, West Midlands, WV14SW",0.8727
5213,6814,"The Royal Angus Hotel, St Chads Queensway BIRMINGHAM, West Midlands, B46HY","Holiday Inn Express, St Chads Queensway, Birmingham, West Midlands, B46HY",0.8407
5233,11189,"The Arden Hotel & Leisure Club, Coventry Road, Bickenhill BickenhillSolihull, West Midlands, B920EH","Arden Hotel, Coventry Road, Birmingham, , GB, Solihull, West Midlands, B920EH",0.8
5257,5138,"Metro Inns Walsall, Birmingham Rd Walsall, West Midlands, WS53AB","Metro Inns Walsall, Birmingham Road, Walsall, West Midlands, WS53AB",0.8786
5260,4422,"Radisson Blu Hotel Birmingham, 12 Holloway Circus QueenswayBirmingham, West Midlands, B11BT","Radisson Blu hotel, 12, Holloway Circus Queensway, Birmingham, West Midlands, B11BT",0.825
5272,5509,"Best Western Plus Windmill Village Hotel, Birmingham Road Allesley Allesley Coventry, West Midlands, CV59AL","Windmill Village Hotel, Birmingham Road, Coventry, West Midlands, CV59AL",0.8557
5281,8583,"ibis Birmingham International Airport NEC, Ambassador Road Bickenhill, Solihull BIRMINGHAM, West Midlands, B263AW","Ibis Budget, Ambassador Road, Birmingham, Solihull, West Midlands, B263AW",0.8
5300,7756,"The Jacobean Hotel, Holyhead Road Coventry, West Midlands, CV58HX","The Jacobean, Holyhead Road, Coventry, West Midlands, CV58HX",0.8745
5303,4590,"Our City Apartments At Shaftesbury House, 59 61 Station Street Birmingham, West Midlands, B54DY","Comfort Inn, Station Street, Birmingham, , GB, West Midlands, B54DY",0.8964
5345,6658,"Strawberry Bank Hotel, Main Rd Meriden MeridenCoventryWest Midlands, Solihull, CV77NF","Strawberry Bank Hotel & Restaurant, 72, Main Road, Meriden, , GB, Solihull, West Midlands, CV77NF",0.8625
5352,4501,"Lucas House Hotel, 48 Edgbaston Park Road Lucas House Reception48 Edgbaston Park RoadEdgbaston, Birmingham, West Midlands, B152RA","Lucas House, Edgbaston Park Road, Birmingham, West Midlands, B152RA",0.8269
5358,11198,"Forest Hotel, Station Approach DorridgeSolihull, West Midlands, B938JA","The Forest Hotel, Station Approach, Solihull, West Midlands, B938JA",0.8
5427,8065,"The Castle Hotel, Market Square Shropshire, West Midlands, SY95BN","Castle Hotel, Market Square, Bishop's Castle, Shropshire, West Midlands, SY95BN",0.8
5517,5504,"Forshaws Hotel, Sure Hotel Collection by Best Western, Blackpool, Talbot Square Blackpool, FY11ND","Forshaws Hotel, Talbot Square, Blackpool, FY11ND",0.8938
5529,2423,"Jesmond International Hotel, 8 Charnley Rd Blackpool, North West, FY14PF","The Eastgate Hotel, 6, Charnley Road, Blackpool, , United Kingdom, North West, FY14PF",0.875
5529,2424,"Jesmond International Hotel, 8 Charnley Rd Blackpool, North West, FY14PF","The Beverley, 4, Charnley Road, Blackpool, , United Kingdom, North West, FY14PF",0.875
5529,2425,"Jesmond International Hotel, 8 Charnley Rd Blackpool, North West, FY14PF","Merlin Hotel, 2, Charnley Road, Blackpool, , United Kingdom, North West, FY14PF",0.875
5529,2428,"Jesmond International Hotel, 8 Charnley Rd Blackpool, North West, FY14PF","Zebra Lodge, 11, Charnley Road, Blackpool, , United Kingdom, North West, FY14PF",0.875
5529,2430,"Jesmond International Hotel, 8 Charnley Rd Blackpool, North West, FY14PF","The Helmshore, 24-28, Charnley Road, Blackpool, , United Kingdom, North West, FY14PF",0.875
5529,2431,"Jesmond International Hotel, 8 Charnley Rd Blackpool, North West, FY14PF","The Victoria, 30, Charnley Road, Blackpool, , United Kingdom, North West, FY14PF",0.8718
5529,2432,"Jesmond International Hotel, 8 Charnley Rd Blackpool, North West, FY14PF","Butterfly Hotel, 32, Charnley Road, Blackpool, , United Kingdom, North West, FY14PF",0.8634
5529,2433,"Jesmond International Hotel, 8 Charnley Rd Blackpool, North West, FY14PF","The Blackpool Central Hotel, 34, Charnley Road, Blackpool, , United Kingdom, North West, FY14PF",0.8561
5529,2434,"Jesmond International Hotel, 8 Charnley Rd Blackpool, North West, FY14PF","The Bramlea, 36, Charnley Road, Blackpool, , United Kingdom, North West, FY14PF",0.8483
5529,2435,"Jesmond International Hotel, 8 Charnley Rd Blackpool, North West, FY14PF","Charnley Gold, 38, Charnley Road, Blackpool, , United Kingdom, North West, FY14PF",0.8402
5529,2436,"Jesmond International Hotel, 8 Charnley Rd Blackpool, North West, FY14PF","Trafford Hotel, 40-42, Charnley Road, Blackpool, , United Kingdom, North West, FY14PF",0.8321
5529,2437,"Jesmond International Hotel, 8 Charnley Rd Blackpool, North West, FY14PF","The Kings Cross Hotel, 44, Charnley Road, Blackpool, , United Kingdom, North West, FY14PF",0.8186
5529,2438,"Jesmond International Hotel, 8 Charnley Rd Blackpool, North West, FY14PF","Alviston Hotel, 46-48, Charnley Road, Blackpool, , United Kingdom, North West, FY14PF",0.8078
